Wardname	Children	Greaterthan65	nonwhite	NotBorninUK	NotEnglishspeaking
Redbridge - Clayhall	21.9016690582282	14.3	71	38.8	10.9
Havering - South Hornchurch	21.0351447135263	16.6	16.4	11.8	2.5
Havering - Cranham	17.2333971902937	23.5	5.6	6	1.1
Brent - Northwick Park	16.6887830770432	13.2	68.8	53.3	19.8
Greenwich - Greenwich West	17.4320808374176	7.7	33.3	34.8	9.7
Waltham Forest - William Morris	22.413143416987	8	51.8	43.6	16.9
Kingston upon Thames - Norbiton	18.7691698822598	9.1	31	34.1	13.6
Brent - Stonebridge	28.1902620836538	8.7	76.5	48.8	17.2
Croydon - Croham	18.2457251424953	12	31.3	24.3	6.5
Barnet - Oakleigh	19.1006261463538	16.4	26.7	28.5	8.6
Redbridge - Wanstead	19.3797106471455	14.5	30	22.8	5.7
Hammersmith & Fulham - Ravenscourt Park	17.6263328697265	11.4	26.7	37.3	11.6
Tower Hamlets - Saint Dunstan's & Stepney Green	23.7159748737529	8.5	65.2	39.8	19.8
Barnet - Mill Hill	22.8171914801366	13.1	36.1	34.4	10.2
Tower Hamlets - Whitechapel	16.3706096083973	5.6	60.2	48.8	24.8
Kensington & Chelsea - Pembridge	13.3176654915785	11.8	22.1	51.2	20.2
Brent - Barnhill	20.8787725082425	12.3	69.7	56.5	22.9
Brent - Willesden Green	19.1634054019375	7.6	52.7	56.3	25.9
Harrow - Belmont	21.2465837961739	13	58.7	41.6	13.2
Lewisham - Sydenham	20.1666132649792	11.9	41.8	30.2	7.1
Ealing - Perivale	20.1251711324076	11	54.6	55.4	26.7
Hammersmith & Fulham - Munster	15.0672482733551	8.4	19.3	38.3	10.7
Merton - Longthornton	21.6380686352753	10.8	58.2	42	14.5
Wandsworth - Earlsfield	14.9598653547385	6.7	27.7	33.4	8.2
Bromley - Bromley Town	19.3510043979555	13.9	18.5	19.9	4.9
Wandsworth - Graveney	17.8707724700618	8.8	46.4	42.4	14.4
Hammersmith & Fulham - College Park & Old Oak	20.3596730245232	8.7	50	45.7	19.5
Enfield - Ponders End	25.9001532175689	9.1	54.6	43.5	19
Camden - Holborn & Covent Garden	12.8618597865315	9.4	39.8	45.6	16.3
Bromley - Kelsey & Eden Park	20.2554744525547	17.5	16	13.6	2.5
Newham - Canning Town North	22.9574611748818	7.7	59.2	47.9	18.6
Hackney - Hackney Downs	18.8839873074839	7.2	51.7	39.5	15.5
Islington - Caledonian	15.2489925158319	9	34.7	37.3	14.4
Barking & Dagenham - Thames	30.27591349739	6.9	54.9	37.2	11.2
Harrow - Pinner	18.1129064432476	19.8	38	31.7	7.5
Islington - Mildmay	18.2550127738639	7.8	34.5	33.8	10.6
Hillingdon - Yeading	25.813337258943	7.6	64.1	42.7	17.4
Bromley - Chelsfield & Pratts Bottom	19.2941338664093	18.7	9.7	9.7	1.3
Bexley - Brampton	17.2482457803907	20.9	13.1	10.4	1.6
Barnet - West Finchley	17.5588217504385	12.5	39.2	44.7	19
Barnet - Brunswick Park	20.6233988044406	14.4	31.6	30.9	10.2
Barnet - Burnt Oak	24.5814349234232	9.3	53.5	47.1	19.3
Hillingdon - Harefield	19.2458440329774	17	12.5	13.3	3.1
